id,avg_delay,deviation_delay,avg_stop,deviation_stop,max_stop,min_stop
7771,0.0,0.0,61.1764705882353,12.406048307260354,240.0,60.0
7117,0.0,0.0,64.22818791946308,16.123733311829326,180.0,60.0
7300,33.333333333333336,165.19348924485135,60.638297872340424,6.155521762335937,120.0,60.0
7617,0.0,0.0,60.0,0.0,60.0,60.0
7290,0.0,0.0,60.0,0.0,60.0,60.0
7645,0.0,0.0,60.97560975609756,10.77596196798757,180.0,60.0
7906,13.788819875776397,35.54271508342767,94.83870967741936,55.17543678251687,240.0,60.0
7604,1.6783216783216783,19.999510972553256,76.42105263157895,52.554048158437205,300.0,60.0
7497,0.0,0.0,60.0,0.0,60.0,60.0
7120,0.0,0.0,67.01886792452831,28.874804951419993,480.0,60.0
7350,0.0,0.0,68.44067796610169,97.22911456032332,2340.0,60.0
7627,0.0,0.0,61.1764705882353,10.78253104695492,180.0,60.0
7335,0.0,0.0,62.32804232804233,12.122754278619892,180.0,60.0
7262,0.6703910614525139,12.666666119122594,61.4218009478673,18.26262592732286,480.0,60.0
7341,0.0,0.0,62.11502782931354,11.064733482558012,120.0,60.0
7318,0.0,0.0,62.50497017892644,14.187311104324174,240.0,60.0
7381,0.0,0.0,63.40425531914894,18.597253943329505,240.0,60.0
7131,0.38626609442060084,4.798621069592476,66.44295302013423,18.8983087735688,180.0,60.0
7455,0.3508771929824561,4.5748788808439755,64.97409326424871,30.744212182572753,300.0,60.0
7012,26.923076923076923,236.24904119901854,161.05263157894737,281.9648118554046,2400.0,60.0
7406,14.117647058823529,82.27804080519739,60.9375,10.565088440235604,180.0,60.0
7463,0.0,0.0,63.91836734693877,23.924913779891877,300.0,60.0
7719,0.0,0.0,61.855670103092784,18.18177953406071,300.0,60.0
7237,0.0,0.0,61.54109589041096,11.807025255091515,240.0,60.0
7731,0.0,0.0,60.0,0.0,60.0,60.0
7398,0.0,0.0,63.0,13.076696830622021,120.0,60.0
7594,0,0,70.0,22.360679774997898,120.0,60.0
7865,0.0,0.0,62.926829268292686,20.747483237206573,240.0,60.0
7079,25.846153846153847,206.76923076923046,85.45454545454545,205.22110632032667,1740.0,60.0
7438,0.8,6.881860213634096,60.0,0.0,60.0,60.0
7135,0.1910828025477707,3.380599875086776,65.53542009884679,22.16461509299332,360.0,60.0
7903,0.0,0.0,60.0,0.0,60.0,60.0
7899,0.0,0.0,66.42857142857143,24.526121019127707,180.0,60.0
7667,0.0,0.0,62.278481012658226,14.921683066624164,180.0,60.0
7107,0.19607843137254902,3.424362587563328,64.77777777777777,23.032719614485416,360.0,60.0
7207,0.0,0.0,66.47619047619048,72.53217285986442,1620.0,60.0
7992,2.0,10.770329614269007,67.5,35.968736424845396,240.0,60.0
7797,0.0,0.0,67.55725190839695,27.451319940829713,300.0,60.0
7927,0.0,0.0,60.0,0.0,60.0,60.0
7199,0.0,0.0,60.0,0.0,60.0,60.0
7432,0.3973509933774834,4.8665359128142605,64.8,30.21522794883397,300.0,60.0
7736,0.0,0.0,65.47008547008546,24.196338159617838,360.0,60.0
7218,0.0,0.0,63.54782608695652,26.002088035975788,480.0,60.0
7264,9.67741935483871,127.29148340788153,62.014134275618375,22.88795441855975,540.0,60.0
7515,0.0,0.0,60.0,0.0,60.0,60.0
7202,0.0,0.0,60.80357142857143,7.97746747062614,180.0,60.0
7170,0.0,0.0,64.81675392670157,22.18067013601937,300.0,60.0
7503,0.0,0.0,60.50847457627118,5.499993471046767,120.0,60.0
7601,0.0,0.0,61.25,8.569568250501305,120.0,60.0
7748,0.0,0.0,64.81481481481481,31.957190157200586,480.0,60.0
7213,5.022026431718062,75.4976117680402,68.4812030075188,28.752666173532525,300.0,60.0
7986,2.0,10.770329614269007,60.0,0.0,60.0,60.0
7861,0.0,0.0,60.645161290322584,6.188169707500282,120.0,60.0
7314,0.0,0.0,62.384105960264904,15.255380519564916,240.0,60.0
7657,0.0,0.0,63.333333333333336,24.267032964268378,300.0,60.0
7118,0.0,0.0,65.6969696969697,20.277596009097724,240.0,60.0
7898,0.0,0.0,60.0,0.0,60.0,60.0
7358,0.0,0.0,61.96363636363636,11.83824869781862,180.0,60.0
7505,11.77570093457944,121.23826147330465,72.11538461538461,122.95772473092488,1320.0,60.0
7112,0.0,0.0,70.09345794392523,53.844624634789014,960.0,60.0
7819,0.0,0.0,64.34210526315789,16.289771275234195,180.0,60.0
7712,0.0,0.0,64.43786982248521,18.214955431718877,240.0,60.0
7091,8.275862068965518,43.79174583831048,63.1578947368421,21.533971100504026,240.0,60.0
7579,0.0,0.0,60.0,0.0,60.0,60.0
7017,23.68421052631579,118.44210339214546,78.94736842105263,101.24980763293522,780.0,60.0
7104,0.0,0.0,69.0,57.64848502855003,1140.0,60.0
7606,0.8955223880597015,10.327667995227607,67.59493670886076,34.90367177643365,300.0,60.0
7534,2.1621621621621623,13.781133820521076,67.11864406779661,54.21397804174306,480.0,60.0
7739,0.0,0.0,64.42105263157895,19.932295374391007,240.0,60.0
7239,0.0,0.0,63.78283712784589,34.40332203555424,660.0,60.0
7252,0.2054794520547945,3.505216871759996,65.50375939849624,30.46151869499087,480.0,60.0
7345,0.0,0.0,64.98305084745763,22.764447098694713,360.0,60.0
7027,15.974025974025974,98.8605175120611,68.62745098039215,59.17801684592196,720.0,60.0
7021,31.25,135.2717172952277,80.23255813953489,97.52729783854603,840.0,60.0
7067,0.0,0.0,60.0,0.0,60.0,60.0
7114,0.0,0.0,68.212927756654,28.91314356648059,420.0,60.0
7840,0.0,0.0,62.22222222222222,22.66230894930139,360.0,60.0
7680,0.0,0.0,72.24489795918367,36.32423748781549,180.0,60.0
7296,0.0,0.0,60.0,0.0,60.0,60.0
7051,0.0,0.0,67.05882352941177,39.66991835314677,360.0,60.0
7354,0.0,0.0,64.36363636363636,28.15306451032149,600.0,60.0
7351,0.0,0.0,61.96078431372549,11.205672205670266,180.0,60.0
7108,0.2553191489361702,3.9056319678583082,64.20664206642067,16.569703830613456,180.0,60.0
7978,0.0,0.0,71.25,43.57106264483344,240.0,60.0
7973,133.84615384615384,463.6566777184373,61.111111111111114,8.089010988089466,120.0,60.0
7521,0.0,0.0,60.41095890410959,4.94860051183245,120.0,60.0
7810,0.0,0.0,60.857142857142854,9.218437602800991,180.0,60.0
7551,0.0,0.0,62.758620689655174,15.513409488554482,180.0,60.0
7212,0.0,0.0,63.045685279187815,14.906236359269668,180.0,60.0
7775,0.0,0.0,66.11464968152866,31.169348031750918,480.0,60.0
7762,0.0,0.0,60.0,0.0,60.0,60.0
7628,2.272727272727273,18.6917138135928,72.0,41.32104271952211,300.0,60.0
7685,0.0,0.0,61.05263157894737,7.877173445839881,120.0,60.0
7336,0.23904382470119523,3.7796147332690038,61.07355864811133,7.953677810657559,120.0,60.0
7539,0.0,0.0,60.54054054054054,5.669237017135951,120.0,60.0
7282,0.0,0.0,63.333333333333336,30.14778414558682,420.0,60.0
7706,0.0,0.0,63.04761904761905,17.62702522096647,240.0,60.0
7575,0.3821656050955414,4.773246877756735,60.0,0.0,60.0,60.0
7889,0.0,0.0,64.24242424242425,15.380093988423669,120.0,60.0
7565,0.0,0.0,63.1578947368421,23.631520337519646,300.0,60.0
7981,0.0,0.0,61.016949152542374,7.744854005963293,120.0,60.0
7253,0.0,0.0,67.7602523659306,98.34770254958626,2460.0,60.0
7730,0.5555555555555556,5.746711351549219,73.23529411764706,38.973640280043135,300.0,60.0
7334,0.0,0.0,62.47933884297521,20.621780659763882,420.0,60.0
7951,0.0,0.0,64.39024390243902,20.487804878048777,180.0,60.0
7605,0.0,0.0,62.29007633587786,15.559042215080638,180.0,60.0
